         31869 function calls (28269 primitive calls) in 0.620 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.592    0.013    0.592    0.013 {method 'recv' of '_socket.socket' objects}
      184    0.008    0.000    0.008    0.000 {method 'write' of '_io.TextIOWrapper' objects}
7618/4018    0.002    0.000    0.003    0.000 encoder.py:333(_iterencode_dict)
      184    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      786    0.001    0.000    0.001    0.000 Character.py:26(display)
       33    0.001    0.000    0.001    0.000 encoder.py:204(iterencode)
     3738    0.001    0.000    0.002    0.000 encoder.py:277(_iterencode_list)
       92    0.001    0.000    0.002    0.000 __init__.py:288(__init__)
     4018    0.001    0.000    0.004    0.000 encoder.py:413(_iterencode)
       46    0.001    0.000    0.001    0.000 {method 'sendall' of '_socket.socket' objects}
       92    0.001    0.000    0.001    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
       33    0.001    0.000    0.005    0.000 encoder.py:182(encode)
      184    0.001    0.000    0.001    0.000 {built-in method time.strftime}
      184    0.000    0.000    0.000    0.000 {built-in method time.localtime}
      276    0.000    0.000    0.003    0.000 __init__.py:655(format)
      276    0.000    0.000    0.000    0.000 __init__.py:435(_format)
     3236    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      184    0.000    0.000    0.012    0.000 __init__.py:1073(emit)
      184    0.000    0.000    0.002    0.000 __init__.py:1062(flush)
       92    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
      184    0.000    0.000    0.015    0.000 __init__.py:941(handle)
       92    0.000    0.000    0.002    0.000 handlers.py:175(shouldRollover)
       42    0.000    0.000    0.002    0.000 Game.py:214(update_game_state)
      276    0.000    0.000    0.003    0.000 __init__.py:918(format)
       92    0.000    0.000    0.015    0.000 __init__.py:1645(callHandlers)
       82    0.000    0.000    0.009    0.000 __init__.py:1436(info)
      276    0.000    0.000    0.000    0.000 __init__.py:364(getMessage)
       92    0.000    0.000    0.018    0.000 __init__.py:1565(_log)
      980    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring_ascii}
      368    0.000    0.000    0.000    0.000 __init__.py:898(acquire)
       42    0.000    0.000    0.001    0.000 Game.py:218(<listcomp>)
      184    0.000    0.000    0.001    0.000 __init__.py:588(formatTime)
       46    0.000    0.000    0.592    0.013 protocol.py:4(recvall)
        8    0.000    0.000    0.004    0.001 Player.py:326(move)
       92    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
      369    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        8    0.000    0.000    0.615    0.077 Player.py:20(play)
      368    0.000    0.000    0.000    0.000 __init__.py:905(release)
       92    0.000    0.000    0.006    0.000 handlers.py:61(emit)
      276    0.000    0.000    0.000    0.000 __init__.py:427(usesTime)
       92    0.000    0.000    0.000    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
      276    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      276    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       92    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
       92    0.000    0.000    0.002    0.000 __init__.py:1550(makeRecord)
      276    0.000    0.000    0.000    0.000 __init__.py:633(usesTime)
       92    0.000    0.000    0.000    0.000 posixpath.py:117(splitext)
       46    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        8    0.000    0.000    0.594    0.074 Player.py:44(select)
      276    0.000    0.000    0.000    0.000 __init__.py:438(format)
      276    0.000    0.000    0.001    0.000 __init__.py:639(formatMessage)
       33    0.000    0.000    0.005    0.000 __init__.py:183(dumps)
       16    0.000    0.000    0.004    0.000 Player.py:90(activate_power)
       23    0.000    0.000    0.001    0.000 __init__.py:299(loads)
      276    0.000    0.000    0.000    0.000 __init__.py:796(filter)
       23    0.000    0.000    0.593    0.026 utils.py:12(receive_json_from_player)
       23    0.000    0.000    0.002    0.000 utils.py:27(send_json_to_player)
      368    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       23    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
       92    0.000    0.000    0.016    0.000 __init__.py:1591(handle)
       42    0.000    0.000    0.000    0.000 Game.py:221(<listcomp>)
       23    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       23    0.000    0.000    0.592    0.026 protocol.py:15(receive_json)
       23    0.000    0.000    0.000    0.000 __init__.py:244(detect_encoding)
       39    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       92    0.000    0.000    0.000    0.000 __init__.py:160(<lambda>)
       92    0.000    0.000    0.003    0.000 __init__.py:1178(emit)
      299    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       60    0.000    0.000    0.000    0.000 Character.py:19(__repr__)
